#{"t_start": 1678960980.4634888, "env_id": null}
r,l,t
59.420494,63,49.032829
27.886352,28,49.096658
20.471528,26,49.146524
36.618208,38,49.231307
47.374325,48,49.319071
72.444198,79,49.462679
60.885357,61,49.586349
31.979356,35,49.662144
39.459064,51,49.793793
23.092215,28,49.844657
24.991019,28,49.911482
28.988067,29,49.962342
22.965718,24,50.038139
26.859668,34,50.107954
21.671662,29,50.175771
28.945126,29,50.242592
53.930766,55,55.69002
72.543215,75,55.823663
65.786145,67,55.941348
23.489189,30,55.991214
25.882363,26,56.038089
35.841921,40,56.105908
38.736601,42,56.184696
84.79078,89,56.348259
38.32247,39,56.416078
67.672756,73,56.541741
33.690903,36,56.603576
30.661684,32,56.656435
56.724369,59,56.760157
45.459507,50,56.846925
82.145047,83,56.990541
46.001052,60,57.093268
45.929446,46,57.173052
51.846041,53,57.270791
50.847726,52,57.363541
42.298269,43,57.444327
30.199622,33,57.516134
35.044768,38,57.592929
41.747108,42,57.677703
43.731153,46,57.766465
19.538752,24,57.811345
31.405692,32,57.874177
36.347804,38,57.94
32.694599,35,58.005825
76.536804,81,58.161408
33.506383,38,58.302032
57.94356,58,58.444655
34.350937,35,58.527429
29.025147,36,58.592261
33.620831,37,58.657082
26.760379,36,58.718917
30.14503,39,58.788731
27.590338,36,58.855553
53.33043,60,58.959274
35.239057,39,59.072968
60.70743,63,59.265455
30.815993,32,59.321305
40.889024,42,59.392115
55.874783,60,59.494842
39.956067,40,62.681316
30.414223,37,62.742154
122.932093,124,62.958579
57.818928,73,63.085236
49.922714,56,63.181978
27.874151,38,63.261764
63.235207,68,63.374462
32.965549,38,63.438292
35.963794,45,63.574928
46.183314,47,63.67466
29.125847,30,63.74946
24.87138,31,63.814286
54.409745,67,63.954909
49.21686,53,64.055641
32.997547,34,64.117475
41.427601,48,64.209229
69.260591,70,64.340877
82.799158,85,64.521395
45.440717,48,64.618136
32.387262,34,64.69493
59.344877,62,64.819596
33.793583,37,64.899384
109.127519,112,65.114806
70.838512,80,65.280364
47.400821,48,65.363142
113.004025,126,65.618458
48.39061,49,65.712209
52.475768,54,65.814933
53.58372,60,65.922648
39.611313,40,65.99246
37.033761,40,66.062273
50.716103,53,66.157018
36.627489,39,66.227829
59.125841,60,66.334544
98.771491,99,66.516058
28.138914,36,66.579888
122.946187,158,69.074215
50.212458,68,69.191899
107.331639,122,69.405329
24.389062,31,69.459185
91.861003,105,69.636709
45.583692,59,69.740433
77.226364,83,69.891029
37.827637,39,69.957851
94.889747,101,70.128394
43.924393,48,70.217157
45.268835,47,70.304927
41.723234,43,70.38072
78.995822,106,70.600132
94.837223,126,70.869412
74.429691,86,71.026991
68.680993,75,71.18457
69.765269,89,71.400989
58.923201,60,71.534632
58.250998,59,71.656307
38.705623,42,71.753048
32.446481,37,71.828846
68.714039,71,71.967475
36.865549,44,72.047263
147.918003,182,72.533959
32.952287,34,72.612747
83.904828,88,72.796257
48.766894,197,75.503017
105.763838,113,75.705475
132.364498,154,75.977747
61.749768,114,76.186188
80.681728,95,76.360721
55.666569,58,76.457463
66.063561,68,76.57814
75.657189,81,76.71278
40.811005,47,76.793567
70.994737,74,76.926209
120.128439,121,77.135648
48.545911,53,77.225409
166.89636,180,77.53857
54.292007,57,77.635312
65.058373,68,77.753995
105.33323,123,78.011314
92.461722,103,78.225733
130.044622,138,78.49601
66.835789,108,78.708442
41.363802,48,78.797204
36.120705,40,78.869011
30.77104,31,78.923865
4.519888,134,81.737339
83.473397,124,81.954757
110.797259,116,82.150234
110.50658,112,82.344714
34.858815,54,82.437465
82.747113,129,82.653886
60.868716,110,82.841385
124.900997,170,83.133612
27.835025,103,83.328084
31.837239,125,83.572429
65.878006,111,83.774888
80.965021,126,84.003277
54.027857,109,84.190775
112.8344,131,84.424151
46.916951,49,84.504936
205.180522,237,85.039505
38.761967,78,85.191099
170.489983,209,88.597985
-33.467472,147,88.882226
138.777808,206,89.312075
69.084865,87,89.491595
48.153634,67,89.63222
152.214737,180,90.029156
151.322141,180,90.414126
110.353869,128,90.69338
90.874187,124,90.936728
84.26738,87,91.116248
33.76272,104,91.38852
194.522881,225,91.862252
-61.818463,127,92.101612
-60.57797,125,92.349948
60.216213,190,94.982903
200.299494,236,95.410759
235.920881,260,95.920395
275.910333,348,96.593595
130.20382,202,96.967595
104.209238,121,97.184017
13.548311,159,97.518122
120.941733,238,98.012799
163.059859,223,98.455614
46.899122,106,98.667049
154.247282,170,101.512436
147.663071,201,101.859509
76.5712,199,102.200595
148.593613,353,102.940616
162.976125,225,103.438285
94.490628,124,103.740477
186.400263,192,104.136417
162.758265,206,104.623115
175.346077,197,105.074907
187.990138,256,105.701229
490.09545,548,109.859108
235.64597,359,110.488424
208.437987,493,111.369068
137.653457,292,111.933558
288.157813,336,112.598779
78.588997,203,115.721425
501.628352,640,116.844421
348.298314,392,117.594414
341.196594,407,118.539886
351.766663,397,119.38662
508.195535,538,122.771564
273.21165,352,123.381932
1179.914552,1345,128.727631
544.201806,793,130.208668
325.24569,662,131.383526
110.164681,261,131.898149
1019.61298,1546,138.021767
